"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","AR",22.602,2.06e-113,3.311,0.635,0.004,2.78e-07,1,6.55595520408192
"2","FOXA1",18.432,3.63e-76,3.19,0.641,0.005,5.74e-07,2,6.24108810760203
"3","ESR1",21.187,6.33e-100,2.796,0.638,0.009,2.89e-06,3,5.53910215724345
"4","PIAS1",5.715,5.5e-09,3.231,0.612,0.009,3.67e-06,4,5.43533393574791
"5","HOXB13",5.878,2.08e-09,3.108,0.593,0.011,6.23e-06,5,5.20551195334083
"6","GATA6",4.83,6.83e-07,2.989,0.577,0.018,2.61e-05,6,4.58335949266172
"7","REST",6.589,2.22e-11,2.719,0.587,0.019,2.94e-05,7,4.53165266958784
"8","GRHL2",4.96,3.53e-07,2.655,0.626,0.02,3.87e-05,8,4.41228903498109
"9","TLE3",3.544,0.000197,3.318,0.573,0.02,3.87e-05,9,4.41228903498109
"10","PR",6.609,1.93e-11,2.893,0.56,0.022,4.75e-05,10,4.32330639037513
"11","HNF4G",3.439,0.000292,2.782,0.584,0.025,6.87e-05,11,4.16304326294045
"12","GATA3",6.735,8.2e-12,2.65,0.565,0.027,8.47e-05,12,4.07211658966929
"13","NKX3-1",2.171,0.015,3.21,0.573,0.028,9.92e-05,13,4.00348832784582
"14","HDAC3",1.771,0.0383,2.86,0.618,0.03,0.00012,14,3.92081875395238
"15","ASCL1",4.922,4.29e-07,2.556,0.573,0.031,0.000128,15,3.89279003035213
"16","PDX1",1.999,0.0228,2.936,0.576,0.031,0.000138,16,3.86012091359876
"17","SIX2",3.467,0.000263,2.849,0.557,0.032,0.000147,17,3.83268266525182
"18","OTX2",5.325,5.06e-08,2.648,0.556,0.034,0.000179,18,3.74714696902011
"19","GREB1",3.192,0.000706,2.672,0.564,0.036,0.000203,19,3.69250396208679
"20","NR5A2",1.848,0.0323,2.809,0.57,0.037,0.000228,20,3.64206515299955
"21","GATA2",4.664,1.55e-06,2.611,0.557,0.038,0.000242,21,3.61618463401957
"22","FOXA2",4.502,3.37e-06,2.327,0.591,0.039,0.000263,22,3.58004425151024
"23","GATA4",4.133,1.79e-05,2.761,0.541,0.039,0.000263,23,3.58004425151024
"24","ARID1A",2.042,0.0206,2.741,0.563,0.04,0.000294,24,3.53165266958784
"25","ASH2L",2.027,0.0213,2.872,0.55,0.041,0.000318,25,3.49757288001557
"26","TBX5",2.8,0.00256,2.701,0.541,0.046,0.000428,26,3.36855623098683
"27","NANOG",4.896,4.89e-07,2.402,0.555,0.046,0.000438,27,3.3585258894959
"28","RAD21",9.025,8.99e-20,2.071,0.59,0.047,0.000481,28,3.31785492362617
"29","MAML3",2.719,0.00327,2.689,0.539,0.049,0.000538,29,3.26921772433361
"30","SOX2",3.686,0.000114,2.242,0.566,0.052,0.000637,30,3.19586056766465
"31","H2AFX",1.276,0.101,2.745,0.571,0.055,0.000734,31,3.13430394008393
"32","TCF4",2.761,0.00288,2.39,0.543,0.059,0.000905,32,3.0433514207948
"33","HNF1A",2.489,0.00641,2.307,0.549,0.061,0.00101,33,2.99567862621736
"34","PPARG",4.449,4.31e-06,1.872,0.6,0.062,0.00106,34,2.97469413473523
"35","SMC3",6.356,1.04e-10,1.789,0.628,0.062,0.00108,35,2.96657624451305
"36","SIRT1",2.24,0.0125,2.39,0.54,0.062,0.00108,36,2.96657624451305
"37","CTCF",23.396,2.33e-121,1.822,0.571,0.064,0.00116,37,2.93554201077308
"38","NCAPG2",1.465,0.0714,2.626,0.548,0.064,0.00118,38,2.92811799269387
"39","EOMES",2.207,0.0136,2.374,0.54,0.065,0.00122,39,2.91364016932525
"40","PHOX2B",1.389,0.0825,2.759,0.538,0.065,0.00124,40,2.90657831483776
"41","SUMO2",2.018,0.0218,2.478,0.534,0.065,0.00126,41,2.89962945488244
"42","BRDU",2.732,0.00314,2.657,0.513,0.065,0.00126,42,2.89962945488244
"43","CDX2",2.19,0.0143,2.566,0.526,0.065,0.00126,43,2.89962945488244
"44","TOP1",2.395,0.00831,2.11,0.561,0.066,0.0013,44,2.88605664769316
"45","YBX1",2.09,0.0183,2.753,0.509,0.069,0.0015,45,2.82390874094432
"46","AHR",1.836,0.0332,2.644,0.52,0.071,0.0016,46,2.79588001734407
"47","ERF",1.62,0.0526,2.541,0.526,0.075,0.00194,47,2.71219827006977
"48","HNF4A",3.046,0.00116,1.738,0.589,0.077,0.00202,48,2.69464863055338
"49","SIX1",1.677,0.0468,2.527,0.522,0.077,0.00205,49,2.68824613894425
"50","HOXC9",1.619,0.0527,2.548,0.516,0.082,0.00245,50,2.61083391563547
"51","EZH2",7.638,1.1e-14,1.386,0.725,0.083,0.00258,51,2.58838029403677
"52","BAHD1",1.356,0.0876,2.729,0.51,0.085,0.00275,52,2.56066730616974
"53","PAX3",1.301,0.0967,2.511,0.529,0.085,0.00275,53,2.56066730616974
"54","SCRT1",1.57,0.0583,2.537,0.515,0.085,0.00278,54,2.55595520408192
"55","ARID3A",1.68,0.0465,2.02,0.546,0.086,0.00285,55,2.54515513999149
"56","NME2",1.572,0.0579,2.415,0.518,0.087,0.00296,56,2.52870828894106
"57","HHEX",1.633,0.0512,2.379,0.518,0.087,0.003,57,2.52287874528034
"58","ARRB1",1.509,0.0656,2.655,0.507,0.088,0.00307,58,2.51286162452281
"59","ZNF217",1.243,0.107,2.569,0.523,0.088,0.00307,59,2.51286162452281
"60","ZNF654",2.023,0.0215,1.882,0.544,0.089,0.00315,60,2.5016894462104
"61","NR3C1",3.927,4.29e-05,1.467,0.607,0.089,0.00319,61,2.49620931694282
"62","NR2F2",2.273,0.0115,1.954,0.534,0.089,0.00319,62,2.49620931694282
"63","DLX2",1.393,0.0819,2.167,0.539,0.092,0.00351,63,2.45469288353418
"64","SMC1A",5.205,9.72e-08,1.498,0.563,0.093,0.00359,64,2.44490555142168
"65","EBF3",1.637,0.0509,2.331,0.508,0.096,0.00393,65,2.40560744962457
"66","MYOG",1.515,0.0649,2.385,0.509,0.097,0.00407,66,2.39040559077478
"67","CHAT",1.446,0.0741,2.507,0.501,0.099,0.00435,67,2.36151074304536
"68","SMAD1",1.589,0.0561,1.863,0.543,0.099,0.0044,68,2.35654732351381
"69","JARID2",5.021,2.57e-07,1.184,0.681,0.099,0.0044,69,2.35654732351381
"70","HOTAIR",1.929,0.0269,2.366,0.497,0.1,0.00444,70,2.35261702988538
"71","EHMT2",1.503,0.0664,2.279,0.512,0.101,0.00469,71,2.32882715728492
"72","SUMO1",3.9,4.81e-05,1.638,0.533,0.102,0.00474,72,2.32422165832591
"73","TSC22D4",1.481,0.0693,2.407,0.501,0.102,0.00479,73,2.31966448658544
"74","ZFAT",1.297,0.0973,2.122,0.528,0.104,0.00505,74,2.29670862188134
"75","NR2F6",1.591,0.0558,2.09,0.512,0.105,0.00526,75,2.27901425584626
"76","ZBTB2",1.599,0.0549,1.918,0.528,0.106,0.00542,76,2.26600071346161
"77","STAG1",5.114,1.57e-07,1.168,0.573,0.109,0.00587,77,2.23136189875239
"78","PLRG1",1.28,0.1,2.697,0.483,0.11,0.00599,78,2.22257317761069
"79","HLF",1.382,0.0835,2.379,0.496,0.111,0.00623,79,2.20551195334083
"80","NEUROD1",1.572,0.058,2.102,0.503,0.113,0.00647,80,2.1890957193313
"81","CHD5",1.217,0.112,2.078,0.521,0.114,0.00672,81,2.17263072694617
"82","NUP98-HOXA9",1.26,0.104,2.018,0.525,0.115,0.00679,82,2.1681302257195
"83","ZIM3",1.348,0.0888,2.319,0.496,0.115,0.00685,83,2.16430942850757
"84","HAND2",1.095,0.137,2.311,0.509,0.115,0.00685,84,2.16430942850757
"85","SUZ12",3.732,9.49e-05,0.929,0.684,0.116,0.00698,85,2.15614457737684
"86","POLR3D",1.907,0.0283,1.732,0.52,0.116,0.00704,86,2.15242734085789
"87","POU5F1",3.567,0.000181,1.669,0.51,0.116,0.00704,87,2.15242734085789
"88","NFIA",1.273,0.101,2.234,0.504,0.116,0.00711,88,2.14813039927023
"89","FOXH1",1.304,0.0962,2.077,0.51,0.117,0.00724,89,2.14026143380285
"90","CRY1",0.978,0.164,2.687,0.495,0.118,0.00731,90,2.13608262304214
"91","GATA1",3.342,0.000415,1.812,0.499,0.118,0.00738,91,2.13194363817696
"92","TCF7",0.955,0.17,1.996,0.542,0.118,0.00744,92,2.12842706445412
"93","SOX11",1.106,0.134,2.424,0.495,0.12,0.00772,93,2.11238269966426
"94","NCAPG",1.057,0.145,1.703,0.561,0.122,0.00814,94,2.0893755951108
"95","TAL1",2.361,0.00911,1.673,0.508,0.123,0.00836,95,2.07779372256098
"96","PRDM1",1.445,0.0742,1.592,0.536,0.125,0.00881,96,2.05502409158795
"97","HES1",0.952,0.171,1.96,0.531,0.127,0.00927,97,2.0329202658555
"98","SFPQ",0.91,0.182,2.748,0.483,0.127,0.00927,98,2.0329202658555
"99","HNF1B",1.259,0.104,1.802,0.525,0.128,0.00935,99,2.02918838912748
"100","MCM2",1.027,0.152,2.296,0.501,0.128,0.00951,100,2.02181948306259
"101","SMAD2",1.644,0.0501,1.851,0.497,0.129,0.00975,101,2.01099538430146
"102","PAX6",0.763,0.223,2.282,0.53,0.13,0.00992,102,2.00348832784582
"103","CDK2",1.143,0.127,2.239,0.48,0.14,0.0124,103,1.90657831483776
"104","DMC1",0.954,0.17,2.255,0.491,0.141,0.0125,104,1.90308998699194
"105","MEF2B",2.143,0.0161,1.498,0.503,0.141,0.0127,105,1.89619627904404
"106","DUX4",1.148,0.126,2.074,0.487,0.142,0.013,106,1.88605664769316
"107","ZFP57",1.314,0.0945,1.699,0.506,0.143,0.0131,107,1.88272870434424
"108","SATB1",0.733,0.232,2.417,0.501,0.144,0.0134,108,1.87289520163519
